City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Kapaa,US,2021-11-02 03:55:54,22.0752,-159.319,77.11,74,61,1.01,broken clouds
99,Santa Cruz,BO,2021-11-02 03:55:55,-17.8,-63.1667,80.06,78,29,4.61,scattered clouds
100,Chunhuhub,MX,2021-11-02 03:55:55,19.55,-88.6833,68.22,93,14,2.35,few clouds
101,Talas,TR,2021-11-02 03:55:56,38.6908,35.5538,47.07,93,75,1.14,broken clouds
102,Ambilobe,MG,2021-11-02 03:52:16,-13.2,49.05,78.3,74,0,5.37,clear sky
103,Bilma,NE,2021-11-02 03:55:56,18.6853,12.9164,74.34,16,32,9.31,scattered clouds
104,Tual,ID,2021-11-02 03:55:57,-5.6667,132.75,84.06,71,84,7.16,broken clouds
105,Hobart,AU,2021-11-02 03:55:58,-42.8794,147.3294,78.03,46,75,1.99,broken clouds
106,Dakar,SN,2021-11-02 03:55:58,14.6937,-17.4441,78.93,89,0,9.22,clear sky
107,Nikolskoye,RU,2021-11-02 03:55:59,59.7035,30.7861,38.88,86,5,6.33,clear sky
108,Soroti,UG,2021-11-02 03:55:59,1.7146,33.6111,67.01,69,100,2.13,overcast clouds
109,Broome,US,2021-11-02 03:56:00,42.2506,-75.833,43.0,67,90,1.99,overcast clouds
110,Saint-Pierre,RE,2021-11-02 03:56:00,-21.3393,55.4781,79.57,64,0,2.3,clear sky
111,Ribeira Grande,PT,2021-11-02 03:56:01,38.5167,-28.7,70.36,87,100,13.06,overcast clouds
112,Qaanaaq,GL,2021-11-02 03:56:02,77.484,-69.3632,5.27,72,7,8.46,clear sky
113,Bandarbeyla,SO,2021-11-02 03:56:02,9.4942,50.8122,78.1,71,21,12.12,few clouds
114,Kavieng,PG,2021-11-02 03:56:03,-2.5744,150.7967,84.33,72,100,7.78,light rain
115,Carnarvon,AU,2021-11-02 03:56:03,-24.8667,113.6333,71.67,37,48,20.71,scattered clouds
116,Naze,JP,2021-11-02 03:52:14,28.3667,129.4833,72.52,57,100,16.49,overcast clouds
117,Bauchi,NG,2021-11-02 03:56:04,10.5,10.0,69.3,37,54,3.15,broken clouds
