City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
369,Auki,SB,87.85,few clouds,-8.7676,160.7034,Auki Motel
370,Macau,MO,73.2,few clouds,22.2006,113.5461,Grand Emperor Hotel
374,Soyo,AO,76.3,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
376,Teknaf,BD,76.87,scattered clouds,20.8624,92.3058,Forestry Guesthouse
380,Hirara,JP,75.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
383,Kigoma,TZ,74.37,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
392,Coahuayana,MX,78.55,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
393,Tripoli,LY,70.75,few clouds,32.8752,13.1875,Al Waddan Hotel
394,Tulum,MX,75.72,moderate rain,20.2167,-87.4667,Kin Ha Tulum
397,Calamar,CO,76.82,overcast clouds,10.2511,-74.9146,Hostal Katyalex
398,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
401,Hinatuan,PH,81.41,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
405,Diliman,PH,84.87,moderate rain,15.025,120.9502,Campo Grande Country Leisure & Resort
407,Champerico,GT,79.47,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
410,Daru,PG,83.08,overcast clouds,-9.0763,143.2092,Daru Lodge
413,Kalabo,ZM,76.21,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
416,Puri,IN,77.52,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
417,Kerema,PG,85.42,overcast clouds,-7.9631,145.7785,Frena Lodge
420,Santa Marta,CO,79.93,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
422,Manaus,BR,82.89,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
424,Mecca,SA,77.95,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
425,Cabra,ES,70.72,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
428,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
432,Cayenne,GF,80.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
437,Ailigandi,PA,79.14,light rain,9.2333,-78.0167,Akwa Reef Lodge
440,Tessaoua,NE,81.16,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
442,Agustin Codazzi,CO,73.96,broken clouds,10.0341,-73.2361,Hotel perija
443,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
449,Abeche,TD,79.21,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
450,Trincomalee,LK,79.25,overcast clouds,8.5711,81.2335,Welcombe Hotel
451,Catio,GW,77.79,light rain,11.2833,-15.25,Pausada Morabedja
453,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
456,Manokwari,ID,84.24,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
457,Inongo,CD,71.06,light rain,-1.95,18.2667,Hotel Du Lac
458,Sao Joao Da Barra,BR,73.49,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
463,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
464,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
467,Sidi Ali,DZ,77.59,overcast clouds,36.0998,0.4206,Khaled
468,Eirunepe,BR,73.22,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
469,Sola,VU,81.45,few clouds,-13.8833,167.55,Leumerus Bungalows
470,Bongaree,AU,72.05,moderate rain,-27.0797,153.1586,The Gums Anchorage
473,Myitkyina,MM,70.7,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
475,Puerto Maldonado,PE,71.06,overcast clouds,-12.6,-69.1833,Wasai Hotel
478,Dingle,PH,82.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
479,Puerto Penasco,MX,83.21,clear sky,31.3167,-113.5333,Playa Bonita Resort
482,Brumado,BR,74.59,clear sky,-14.2036,-41.6653,Hotel São Lázaro
483,Sinnamary,GF,78.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
484,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
485,Akyab,MM,76.86,few clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
486,Porto Novo,BJ,76.35,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
488,Sabang,ID,80.82,overcast clouds,5.8933,95.3214,Hotel Citra
492,Baghdad,IQ,71.51,smoke,33.3406,44.4009,Baghdad Hotel
495,Ballina,AU,70.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
497,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
499,Honiara,SB,88.63,few clouds,-9.4333,159.95,Heritage Park Hotel
500,Las Guaranas,DO,80.91,clear sky,19.1931,-70.2084,Hotel Claro De Luna
504,Pozo Colorado,PY,70.41,broken clouds,-23.4923,-58.7972,Hospedaje La Norteña
505,Douentza,ML,85.35,clear sky,14.9951,-2.9517,Ogomono Doumbo
507,Pokaran,IN,75.92,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
508,Castelo Do Piaui,BR,80.2,few clouds,-5.3222,-41.5525,Nobre Hotel
